id,type,amount,reason,order_id,recorded_by,created_at
503eff38-9168-4fe1-a2ec-e3a8e6c1dc84,CREDIT,175.00,vanila icecrean / Manual Khata Credit,null,visat_device_c5f6fe7c,2026-05-25 17:21:27.653685+00
55225196-1151-4d24-9a23-e8200b917187,CREDIT,120.00,Order #BBCFV1120,c4d1021e-b074-434a-81c2-a00130409bc4,visat,2026-05-25 18:00:31.925+00
013b4a35-69f2-4652-a287-861c65d9afe0,CREDIT,52.00,Order #BBCFV1187,6b43c072-3a96-4250-a9b2-a01b6999cba9,visat,2026-05-26 07:57:08.602+00
90554aff-0846-4eae-9751-4511856042bc,CREDIT,150.00,Order #BBCFV1379,2b37a4df-01ec-4740-b3f2-4555b3ff9efe,visat,2026-05-26 17:55:22.769+00
a0120616-fb12-483b-ae3c-5a841aebc096,CREDIT,90.00,Order #BBCFV1380,7504b812-1f73-45e0-8e26-61e1ce0d5d87,visat,2026-05-26 17:57:39.683+00
5c7d8ac0-df02-4cf2-a489-f9412b0f137b,CREDIT,77.00,Order #BBCFV1421,95571671-a5ce-40ad-913f-ef3a5f3c0a63,visat_device_2a233bb6,2026-05-27 04:58:15.242+00
d13825f3-219f-48ed-a4d6-cb3cf09fc6fe,CREDIT,105.00,Order #BBCFV1467,03640231-d21a-41a1-8cfb-c204c7ed46a2,manager03,2026-05-27 08:59:59.326+00
4c508cc7-614a-4e42-acfe-c1573599adf1,PAYMENT,769.00,Payment Received 1000rs. 27/05 (Khata Cleared),null,visat,2026-05-27 17:25:04.291486+00
beb6920d-66c5-4352-ac76-db3ba9dc45b6,CREDIT,49.00,Order #BBCFV1603,78550f00-8e8a-471b-82d4-66be9e0417cf,visat,2026-05-27 18:00:33.763+00
b28acd9a-2405-42eb-b567-98e9eebf7f54,CREDIT,55.00,Order #BBCFV1654,938bee99-8451-46e6-aedd-4c77b247ecd9,manager03,2026-05-28 06:55:30.898+00
70d8c3dc-76d7-4ab6-b901-c7b903091144,CREDIT,78.00,Order #BBV-3005-025,5bfdc489-eeba-4e88-858c-f3eab266e807,manager03,2026-05-30 05:54:01.716+00
2ca6e6f5-1e25-43c7-82a2-09fce201e216,CREDIT,105.00,Order #BBV-0106-192,19fc3614-bb91-4bbf-b762-76d52b084a1c,manager03,2026-06-01 09:55:26+00
a1dca72e-d189-4154-8917-ed99b3024808,CREDIT,105.00,Order #BBV-0106-194,d3805775-7471-40b8-aef4-a705aae0e6c0,manager03,2026-06-01 10:04:58+00
cc093060-b4af-4bbe-bcdd-a14e90932886,CREDIT,20.00,Order #BBV-0306-003,14e9ce3a-e007-4b21-b37f-45f6f189d88f,manager03,2026-06-03 09:50:32.585+00
f33d2da5-8a11-4375-bcfe-78e8c1c20224,PAYMENT,20.00,Order #BBV-0306-003 — Cancellation Reversal,14e9ce3a-e007-4b21-b37f-45f6f189d88f,manager03,2026-06-03 09:58:15.929208+00
200e7fe8-d9f5-444c-a401-6322536387e0,CREDIT,20.00,Order #BBV-0306-151,927cd791-1b1c-40fd-8895-660eebd59b4f,visat_device_200f5a77,2026-06-03 16:51:44.414+00
c50ba7eb-2bf2-4a2f-838b-ad2f99887f8b,CREDIT,35.00,Order #BBV-0306-172,4038d04c-bc29-4322-abe7-63a51d24bc32,visat_device_200f5a77,2026-06-03 17:20:24.993+00
0d624396-8f20-4b41-b5f1-2898070bf31e,CREDIT,60.00,Order #BBV-0406-062,62184bd1-06e6-497c-9bba-b6098d30c3dd,manager03,2026-06-04 08:14:09.849+00
51017d20-d350-4f62-ab6e-2b022be6e1fc,CREDIT,45.00,Order #BBV-0406-080,1a051912-4056-4bac-843e-dfd8bc0cbe1a,manager03,2026-06-04 09:16:19.022+00
1251e62e-b40d-438e-8d9a-3d62c842ee22,CREDIT,120.00,Order #BBV-0406-128,35ea0f0c-d1e2-459d-b5a6-5aae93836217,manager03,2026-06-04 15:22:37.633+00
9c1ca775-87a2-4f8a-962c-d4939360ce90,CREDIT,30.00,Order #BBV-0406-132,bcb49350-324f-41a1-a45f-e6ed94386c4d,manager03,2026-06-04 15:29:40.086+00
