Category,SubCategory,ItemName,Variant,Price
Snacks,Vada Pav,Vada Pav,Oil,30
Snacks,Vada Pav,Vada Pav,Butter,40
Snacks,Vada Pav,Bombay Vada Pav,Regular,25
Snacks,Vada Pav,Masala Pav,Regular,50
Snacks,Vada Pav,Cheese Vada Pav,Oil,60
Snacks,Vada Pav,Cheese Vada Pav,Butter,70
Snacks,Vada Pav,Mayo Cheese Vada Pav,Regular,90
Snacks,Dabeli,Dabeli,Oil,30
Snacks,Dabeli,Dabeli,Butter,40
Snacks,Dabeli,Kutchi Dabeli,Regular,30
Snacks,Dabeli,Cheese Dabeli,Oil,60
Snacks,Dabeli,Cheese Dabeli,Butter,70
Snacks,Dabeli,Mayo Cheese Dabeli,Regular,90
Snacks,Puff,Regular Puff,Oil,30
Snacks,Puff,Regular Puff,Butter,40
Snacks,Puff,Cheese Puff,Oil,60
Snacks,Puff,Cheese Puff,Butter,70
Snacks,Puff,Mayo Puff,Regular,70
Snacks,Puff,Bombay Bethak Special Puff,Regular,80
Pizza,Standard,Single Cheese Pizza,Regular,120
Pizza,Standard,Peri Peri Tandoori Pizza,Regular,140
Pizza,Standard,Lasaniya Pizza,Regular,140
Pizza,Standard,Double Cheese Pizza,Regular,180
Pizza,Standard,Garlic Cheese Pizza,Regular,180
Paratha,Indian,Aloo Paratha,Oil,70
Paratha,Indian,Butter Paratha,Regular,90
Paratha,Indian,Butter Gobi Paratha,Regular,120
Paratha,Indian,Garlic Paratha,Regular,120
Paratha,Indian,Tandoori Paratha,Regular,120
Paratha,Indian,Cheese Gobi Paratha,Regular,130
Paratha,Indian,Paneer Paratha,Regular,150
Paratha,Indian,Mix Cheese Paratha,Regular,150
Paratha,Indian,Paneer Cheese Garlic Paratha,Regular,160
Sandwich,Basic,Bread Butter,Normal,30
Sandwich,Classic,Aloo Mater Sandwich,Normal,40
Sandwich,Classic,Aloo Mater Sandwich,Grill,70
Sandwich,Classic,Veg Sandwich,Normal,40
Sandwich,Classic,Veg Sandwich,Grill,70
Sandwich,Classic,Jam Sandwich,Normal,40
Sandwich,Classic,Chutney Sandwich,Normal,40
Sandwich,Classic,Chutney Sandwich,Grill,70
Sandwich,Classic,Chocolate Sandwich,Normal,80
Sandwich,Cheese,Cheese Aloo Mater Sandwich,Normal,70
Sandwich,Cheese,Cheese Aloo Mater Sandwich,Grill,150
Sandwich,Cheese,Cheese Veg Sandwich,Normal,70
Sandwich,Cheese,Cheese Veg Sandwich,Grill,150
Sandwich,Cheese,Cheese Jam Sandwich,Normal,70
Sandwich,Cheese,Cheese Chutney Sandwich,Normal,70
Sandwich,Cheese,Cheese Chutney Sandwich,Grill,150
